ITEM,CÓDIGO,DESCRIÇÃO,FONTE,UND,QUANTIDADE,"PREÇO UNITÁRIO R$","PREÇO TOTAL R$"
4.1.7,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.550,78","R$ 15,33","R$ 23.773,46"
4.1.8,FNDE 239,"CONCRETAGEM DE PILARES, FCK = 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"61,77","R$ 641,27","R$ 39.611,25"
4.2,CONCRETO ARMADO - PILARES - MURO,,,,,,"R$ 16.736,64"
4.2.1,92443,"MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"96,16","R$ 54,94","R$ 5.283,03"
4.2.2,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"536,77","R$ 11,92","R$ 6.398,30"
4.2.3,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"133,16","R$ 15,33","R$ 2.041,34"
4.2.4,FNDE 239,"CONCRETAGEM DE PILARES, FCK = 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"4,70","R$ 641,27","R$ 3.013,97"
4.3,CONCRETO ARMADO - PILARES E VIGAS- RESERVATÓRIO,,,,,,"R$ 2.948,32"
4.3.1,92443,"MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"16,00","R$ 54,94","R$ 879,04"
4.3.2,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"79,45","R$ 11,92","R$ 947,04"
4.3.3,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"27,61","R$ 15,33","R$ 423,26"
4.3.4,FNDE 239,"CONCRETAGEM DE PILARES, FCK = 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"1,09","R$ 641,27","R$ 698,98"
4.4,CONCRETO ARMADO - VIGAS,,,,,,"R$ 225.765,02"
4.4.1,92479,"MONTAGEM E DESMONTAGEM DE FÔRMA DE VIGA, ESCORAMENTO COM GARFO DE MADEIRA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"1.194,01","R$ 64,72","R$ 77.276,33"
4.4.2,92760,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"252,60","R$ 14,36","R$ 3.627,34"
4.4.3,92761,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.146,06","R$ 13,42","R$ 15.380,13"
4.4.4,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.635,22","R$ 11,92","R$ 19.491,82"
4.4.5,92763,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.699,59","R$ 9,99","R$ 16.978,90"
4.4.6,92764,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"916,38","R$ 9,64","R$ 8.833,90"
4.4.7,92765,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 20,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"193,83","R$ 10,98","R$ 2.128,25"
4.4.8,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.649,70","R$ 15,33","R$ 25.289,90"
4.4.9,FNDE 240,"CONCRETAGEM DE VIGAS E LAJES, FCK=30 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"88,34","R$ 642,50","R$ 56.758,45"
4.5,CONCRETO ARMADO - VIGAS - MURO,,,,,,"R$ 126.551,45"
4.5.1,92479,"MONTAGEM E DESMONTAGEM DE FÔRMA DE VIGA, ESCORAMENTO COM GARFO DE MADEIRA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"1.055,77","R$ 64,72","R$ 68.329,43"
4.5.2,92761,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"433,11","R$ 13,42","R$ 5.812,34"
4.5.3,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"45,49","R$ 11,92","R$ 542,24"
4.5.4,92763,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"3,47","R$ 9,99","R$ 34,67"
4.5.5,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"226,89","R$ 15,33","R$ 3.478,22"
4.5.6,FNDE 240,"CONCRETAGEM DE VIGAS E LAJES, FCK=30 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"75,26","R$ 642,50","R$ 48.354,55"
4.6,CONCRETO ARMADO PARA VERGAS,,,,,,"R$ 7.444,64"
4.6.1,93184,"VERGA PRÉ-MOLDADA PARA PORTAS COM ATÉ 1,5 M DE VÃO. AF_03/2016",SINAPI,M,"238,00","R$ 31,28","R$ 7.444,64"
4.7,CONCRETO ARMADO - PISO PARA QUADRA,,,,,,"R$ 51.315,81"
4.7.1,92526,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 10 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"5,04","R$ 42,23","R$ 212,84"
4.7.2,97113,APLICAÇÃO DE LONA PLÁSTICA PARA EXECUÇÃO DE PAVIMENTOS DE CONCRETO. AF_04/2022,SINAPI,M2,"416,00","R$ 3,39","R$ 1.410,24"
4.7.3,97088,"ARMAÇÃO PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, COM USO DE TELA Q-92. AF_09/2021",SINAPI,KG,"615,58","R$ 16,79","R$ 10.335,59"
4.7.4,101747,"PISO EM CONCRETO 20 MPA PREPARO MECÂNICO, ESPESSURA 7CM. AF_09/2020",SINAPI,M2,"416,00","R$ 79,59","R$ 33.109,44"
4.7.5,100324,"LASTRO COM MATERIAL GRANULAR (PEDRA BRITADA N.1 E PEDRA BRITADA N.2), APLICADO EM PISOS OU LAJES SOBRE SOLO, ESPESSURA DE *10 CM*. AF_01/2024",SINAPI,M3,"20,80","R$ 300,37","R$ 6.247,70"
4.8,CONCRETO ARMADO - LAJE,,,,,,"R$ 11.494,76"
4.8.1,92514,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 4 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"98,73","R$ 51,60","R$ 5.094,47"
4.8.2,92769,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"6,58","R$ 13,77","R$ 90,61"
4.8.3,92768,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"106,96","R$ 14,72","R$ 1.574,45"
4.8.4,FNDE 240,"CONCRETAGEM DE VIGAS E LAJES, FCK=30 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"7,37","R$ 642,50","R$ 4.735,23"
4.9,CONCRETO ARMADO - LAJE - MURO,,,,,,"R$ 1.335,65"
4.9.1,92514,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 4 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"10,45","R$ 51,60","R$ 539,22"
4.9.2,92768,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"18,75","R$ 14,72","R$ 276,00"
4.9.3,FNDE 240,"CONCRETAGEM DE VIGAS E LAJES, FCK=30 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"0,81","R$ 642,50","R$ 520,43"
4.10,CONCRETO ARMADO - LAJE - RESERVATÓRIO,,,,,,"R$ 1.348,25"
4.10.1,92514,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 4 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"4,51","R$ 51,60","R$ 232,72"
4.10.2,92770,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"65,21","R$ 12,87","R$ 839,25"
4.10.3,FNDE 240,"CONCRETAGEM DE VIGAS E LAJES, FCK=30 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO.",PRÓPRIA,M3,"0,43","R$ 642,50","R$ 276,28"
4.11,ESTRUTURA METÁLICA,,,,,,"R$ 671.929,40"
4.11.1,104314,"TRAMA DE AÇO COMPOSTA POR TERÇAS PARA TELHADOS DE ATÉ 2 ÁGUAS PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO TRANSPORTE VERTICAL (EM KG). AF_07/2019",SINAPI,KG,"61.475,70","R$ 10,93","R$ 671.929,40"
4.12,PISO DE CONCRETO,,,,,,"R$ 204.352,40"
4.12.1,PAVIMENTAÇÃO INTERNA - PISO DE CONCRETO 7 CM,,,,,,"R$ 150.421,98"
4.12.1.1,97083,"COMPACTAÇÃO MECÂNICA DE SOLO PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, COM COMPACTADOR DE SOLOS A PERCUSSÃO. AF_09/2021",SINAPI,M2,"2.036,81","R$ 3,70","R$ 7.536,20"
4.12.1.2,96622,"LASTRO COM MATERIAL GRANULAR, APLICADO EM PISOS OU LAJES SOBRE SOLO, ESPESSURA DE *5 CM*. AF_01/2024",SINAPI,M3,"101,84","R$ 353,19","R$ 35.968,87"
4.12.1.3,97087,"CAMADA SEPARADORA PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, EM LONA PLÁSTICA. AF_09/2021",SINAPI,M2,"2.036,81","R$ 3,41","R$ 6.945,52"
4.12.1.4,94991,"EXECUÇÃO DE PASSEIO (CALÇADA) OU PISO DE CONCRETO COM CONCRETO MOLDADO IN LOCO, USINADO C20, ACABAMENTO CONVENCIONAL, NÃO ARMADO. AF_08/2022",SINAPI,M3,"142,58","R$ 701,16","R$ 99.971,39"
4.12.2,PAVIMENTAÇÃO EXTERNA - CALÇADA - PISO DE CONCRETO 7 CM,,,,,,"R$ 53.930,42"
4.12.2.1,97083,"COMPACTAÇÃO MECÂNICA DE SOLO PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, COM COMPACTADOR DE SOLOS A PERCUSSÃO. AF_09/2021",SINAPI,M2,"730,26","R$ 3,70","R$ 2.701,96"
4.12.2.2,96622,"LASTRO COM MATERIAL GRANULAR, APLICADO EM PISOS OU LAJES SOBRE SOLO, ESPESSURA DE *5 CM*. AF_01/2024",SINAPI,M3,"36,51","R$ 353,19","R$ 12.894,97"
4.12.2.3,97087,"CAMADA SEPARADORA PARA EXECUÇÃO DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, EM LONA PLÁSTICA. AF_09/2021",SINAPI,M2,"730,26","R$ 3,41","R$ 2.490,19"
4.12.2.4,94991,"EXECUÇÃO DE PASSEIO (CALÇADA) OU PISO DE CONCRETO COM CONCRETO MOLDADO IN LOCO, USINADO C20, ACABAMENTO CONVENCIONAL, NÃO ARMADO. AF_08/2022",SINAPI,M3,"51,12","R$ 701,16","R$ 35.843,30"
5,SISTEMA DE VEDAÇÃO VERTICAL,,,,,,"R$ 289.783,50"
5.1,ELEMENTOS VAZADOS,,,,,,"R$ 31.953,71"
5.1.1,101161,ALVENARIA DE VEDAÇÃO COM ELEMENTO VAZADO DE CONCRETO (COBOGÓ) DE 7X50X50CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,SINAPI,M2,"122,25","R$ 261,38","R$ 31.953,71"
5.2,ALVENARIA DE VEDAÇÃO,,,,,,"R$ 166.191,65"
5.2.1,103324,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,SINAPI,M2,"1.406,55","R$ 85,69","R$ 120.527,27"
5.2.2,103322,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,SINAPI,M2,"345,27","R$ 64,27","R$ 22.190,50"
5.2.3,103327,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,SINAPI,M2,"9,36","R$ 102,88","R$ 962,96"
5.2.4,103328,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021 - SÓCULOS,SINAPI,M2,"6,85","R$ 102,78","R$ 704,04"
5.2.5,93202,FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO. AF_03/2024,SINAPI,M,"706,41","R$ 30,87","R$ 21.806,88"
5.3,DIVISÓRIAS,,,,,,"R$ 48.363,87"
5.3.1,102253,"DIVISORIA SANITÁRIA, TIPO CABINE, EM GRANITO CINZA POLIDO, ESP = 3CM, ASSENTADO COM ARGAMASSA COLANTE AC III-E, EXCLUSIVE FERRAGENS. AF_01/2021",SINAPI,M2,"25,54","R$ 727,45","R$ 18.579,07"
5.3.2,FNDE 63,"DIVISÓRIA ARTICULADA DE 70 MM DE ESPESSURA EM MDF, REVESTIDO EM LAMINADO MELAMÍNICO",PRÓPRIA,M2,"19,87","R$ 478,76","R$ 9.512,96"
5.3.3,96370,FECHAMENTO DE SHAFTS COM PLACAS DE GESSO ACARTONADO,SINAPI,M2,"48,19","R$ 55,11","R$ 2.655,75"
5.3.4,FNDE 129,"INSTALAÇÃO DE BOX DE VIDRO TEMPERADO, E = 10 MM, ENCAIXADO EM PERFIL U",PRÓPRIA,M2,"7,20","R$ 409,79","R$ 2.950,49"
5.3.5,FNDE 62,"FECHAMENTO EM PLACA CIMENTÍCIA, ESPESSURA 10 MM",PRÓPRIA,M2,"168,28","R$ 87,15","R$ 14.665,60"
5.4,ALVENARIA DE VEDAÇÃO - MURO,,,,,,"R$ 43.274,27"
5.4.1,103324,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,SINAPI,M2,"11,60","R$ 85,69","R$ 994,00"
5.4.2,103322,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,SINAPI,M2,"536,48","R$ 64,27","R$ 34.479,57"
5.4.3,103322,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA - SÓCULOS - GÁS,SINAPI,M2,"2,26","R$ 64,27","R$ 145,25"
5.4.4,93202,FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO. AF_03/2024,SINAPI,M,"247,99","R$ 30,87","R$ 7.655,45"
6,ESQUADRIAS,,,,,,"R$ 438.614,98"
6.1,PORTAS DE MADEIRA,,,,,,"R$ 29.420,04"
6.1.1,FNDE 130,"PM1 - KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO",PRÓPRIA,UN,"9,00","R$ 1.281,42","R$ 11.532,78"
6.1.2,FNDE 131,"PM2 - KIT DE PORTA DE MADEIRA TIPO VENEZIANA, 80X210CM (ESPESSURA DE 3CM), PADRÃO MÉDIO, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO.",PRÓPRIA,UN,"6,00","R$ 1.730,64","R$ 10.383,84"
6.1.3,FNDE 132,"PM3 - KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO",PRÓPRIA,UN,"5,00","R$ 1.281,42","R$ 6.407,10"
6.1.4,FNDE 133,"INSTALAÇÃO DE VIDRO LISO INCOLOR ESQUADRIA PM3 , E = 6 MM, EM ESQUADRIA DE MADEIRA, FIXADO COM BAGUETE",PRÓPRIA,M2,"4,60","R$ 238,33","R$ 1.096,32"
6.2,FERRAGENS E ACESSÓRIOS,,,,,,"R$ 3.903,72"
6.2.1,100705,TARJETA TIPO LIVRE/OCUPADO PARA PORTA DE BANHEIRO. AF_12/2019,SINAPI,UN,"11,00","R$ 83,52","R$ 918,72"
6.2.2,100866,"BARRA DE APOIO RETA, EM ACO INOX POLIDO, COMPRIMENTO 60CM, FIXADA NA PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020",SINAPI,UN,"6,00","R$ 305,99","R$ 1.835,94"
6.2.3,FNDE 04,"CHAPA METÁLICA (ALUMÍNIO) 0,90 M X 0,40 M, ESPESSURA 1 MM PARA AS PORTAS",PRÓPRIA,M²,"6,40","R$ 179,54","R$ 1.149,06"
6.3,PORTAS EM ALUMÍNIO,,,,,,"R$ 57.474,32"
6.3.1,FNDE 134,"PORTA DE ABRIR - PA1 - 100 X 210 CM EM CHAPA DE ALUMÍNIO, TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO - CONFORME PROJETO DE ESQUADRIAS",PRÓPRIA,M2,"4,20","R$ 407,20","R$ 1.710,24"
6.3.2,FNDE 135,"PORTA DE ABRIR - PA2 - 90 X 210 CM EM CHAPA DE ALUMÍNIO, TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO - CONFORME PROJETO DE ESQUADRIAS",PRÓPRIA,M2,"3,78","R$ 616,63","R$ 2.330,86"
6.3.3,FNDE 136,"PORTA DE ABRIR - PA3 - 90 X 210 CM EM CHAPA DE ALUMÍNIO, TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO - CONFORME PROJETO DE ESQUADRIAS",PRÓPRIA,M2,"11,34","R$ 616,63","R$ 6.992,58"
6.3.4,FNDE 137,"PORTA DE ABRIR - PA4 - 80 X 165 CM EM CHAPA DE ALUMÍNIO, TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO - CONFORME PROJETO DE ESQUADRIAS",PRÓPRIA,M2,"6,60","R$ 616,63","R$ 4.069,76"
6.3.5,FNDE 138,"PORTA DE ABRIR - PA5 - 70 X 165 CM EM CHAPA DE ALUMÍNIO, TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO - CONFORME PROJETO DE ESQUADRIAS",PRÓPRIA,M2,"6,93","R$ 616,63","R$ 4.273,25"
6.3.6,FNDE 139,"PORTA DE ABRIR - PA6 - 170 X 215 + 70 CM EM CHAPA DE ALUMÍNIO COM BANDEIRA E VIDRO - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS E VIDRO MONOLÍTICO",PRÓPRIA,M2,"38,76","R$ 407,20","R$ 15.783,07"
6.3.7,FNDE 140,"PORTA DE CORRER - PA7 - 420 X 215 + 70 CM EM CHAPA DE ALUMÍNIO COM BANDEIRA E VIDRO - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS E VIDRO",PRÓPRIA,M2,"35,91","R$ 407,20","R$ 14.622,55"
6.3.8,FNDE 141,"PORTA DE CORRER - PA8 - 210 X 215 + 70 CM EM CHAPA DE ALUMÍNIO COM BANDEIRA E VIDRO - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS E VIDRO",PRÓPRIA,M2,"5,99","R$ 407,20","R$ 2.439,13"
6.3.9,FNDE 142,"PORTA DE ABRIR - PA9 - 120 X 210 + 65 CM EM CHAPA DE ALUMÍNIO COM BANDEIRA E VENEZIANA - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS",PRÓPRIA,M2,"3,30","R$ 407,20","R$ 1.343,76"
6.3.10,FNDE 143,"PORTA DE CORRER - PA10 - 175 X 230 CM EM CHAPA DE ALUMÍNIO COM VENEZIANA - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS",PRÓPRIA,M2,"5,52","R$ 407,20","R$ 2.247,74"
6.3.11,FNDE 144,"PORTA DE CORRER - PA11- 230 X 240 CM EM CHAPA DE ALUMÍNIO COM VENEZIANA - CONFORME PROJETO DE ESQUADRIAS, INCLUSIVE FERRAGENS",PRÓPRIA,M2,"4,08","R$ 407,20","R$ 1.661,38"
6.4,JANELAS DE ALUMÍNIO,,,,,,"R$ 158.348,56"
6.4.1,FNDE 145,"JANELA DE ALUMÍNIO - JA-1 - 210 X 130 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - GUILHOTINA - INCLUSO VIDRO",PRÓPRIA,M2,"5,46","R$ 784,72","R$ 4.284,57"
6.4.2,FNDE 146,"JANELA DE ALUMÍNIO - JA-2 - 150 X 140 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - CORRER - INCLUSO VIDRO",PRÓPRIA,M2,"2,10","R$ 406,47","R$ 853,59"
6.4.3,FNDE 147,"JANELA DE ALUMÍNIO - JA-3 - 280 X 205 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - CORRER COM BANDEIRA - INCLUSO VIDRO",PRÓPRIA,M2,"5,74","R$ 406,47","R$ 2.333,14"
6.4.4,FNDE 148,"JANELA DE ALUMÍNIO - JA-4 - 280 X 185 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - CORRER COM BANDEIRA - INCLUSO VIDRO MONILÍTICO",PRÓPRIA,M2,"10,36","R$ 406,47","R$ 4.211,03"
6.4.5,FNDE 149,"JANELA DE ALUMÍNIO - JA-5 - 350 X 185 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - CORRER COM BANDEIRA - INCLUSO VIDRO",PRÓPRIA,M2,"19,43","R$ 406,47","R$ 7.897,71"
6.4.6,FNDE 151,"JANELA DE ALUMÍNIO - JA-6, 350 X 120 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - FIXA - INCLUSO VIDRO",PRÓPRIA,M2,"4,20","R$ 848,88","R$ 3.565,30"
6.4.7,FNDE 152,"JANELA DE ALUMÍNIO - JA-7 - 280 X 230 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - FIXA COM BANDEIRA - INCLUSO VIDRO",PRÓPRIA,M2,"19,32","R$ 848,88","R$ 16.400,36"
6.4.8,FNDE 153,"JANELA DE ALUMÍNIO - JA-8, 700 X 290 CM COMPLETA, CONFORME PROJETO DE ESQUADRIAS - FIXA COM BANDEIRA - INCLUSO VIDRO",PRÓPRIA,M2,"20,30","R$ 848,88","R$ 17.232,26"
